city,cases,hospitalize,deaths,population
Main-Taunus-Kreis,255,,7,72404
Mainz,322,,9,120071
Mainz-Bingen,53,,0,46677
Mannheim,325,,12,253777
Mansfeld-Südharz,37,,0,75009
Marburg-Biedenkopf,87,,1,70526
Märkischer Kreis,187,,10,71845
Märkisch-Oderland,119,,3,67135
Mayen-Koblenz,438,,15,227020
Mecklenburgische Seenplatte,401,,8,285325
Meißen,2222,,72,1085664
Memmingen,242,,11,114024
Merzig-Wadern,534,,21,310974
Mettmann,120,,1,90909
Miesbach,244,,7,247548
Miltenberg,101,,7,68907
Minden-Lübbecke,419,,30,122258
Mittelsachsen,93,,3,43893
Mönchengladbach,291,,20,236633
Mühldorf a. Inn,209,,6,201585
Mülheim an der Ruhr,849,,57,444232
Munich,427,,5,419149
Münster,110,,2,99845
Neckar-Odenwald-Kreis,32,,1,89928
Neuburg-Schrobenhausen,156,,3,111407
Neumarkt i.d. OPf.,382,,24,136981
Neumünster,120,,4,108742
Neunkirchen,276,,5,140667
Neustadt a.d. Aisch-Bad Windsheim,103,,5,70975
Neustadt a.d. Waldnaab,730,,35,112010
Neustadt an der Weinstraße,355,,19,95311
Neu-Ulm,99,,3,45930
Neuwied,231,,5,236564
Nienburg (Weser),562,,13,260475
Nordfriesland,277,,2,276594
Nordhausen,19,,1,63553
Nordsachsen,253,,8,197264
Nordwestmecklenburg,193,,21,120829
Northeim,147,,1,156374
Nürnberg,315,,5,250783
Nürnberger Land,124,,0,91307
Oberallgäu,1714,,59,254322
Oberbergischer Kreis,828,,25,343068
Oberhausen,390,,11,125960
Oberhavel,411,,30,132472
Oberspreewald-Lausitz,267,,6,160355
Odenwaldkreis,65,,1,139755
Oder-Spree,148,,5,161909
Offenbach,142,,2,84599
Offenbach am Main,223,,3,214446
Oldenburg,463,,9,252776
Oldenburg (Oldb),419,,24,179111
Olpe,114,,6,148559
Ortenaukreis,4358,,122,1841179
Osnabrück,288,,9,239257
Osnabrück,229,,6,188814
Ostalbkreis,587,,16,364083
