days,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
days,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking
10,971,125,12,2,25.727,3.312,0.318,0.053,53.45,26.48,53.11,1115,91,4,0,192.5,15.711,0.691,0,59.78,29.16,56.3,1139,237,2,2,13.594,2.829,0.024,0.024,100.16,106.74,90.68,254,15,6,1,2.008,0.119,0.047,0.008,103.24,97.95,103.49,1135,176,20,8,66.239,10.271,1.167,0.467,51.11,32.44,49.53,1077,170,1,0,198.663,31.358,0.184,0,56.73,30.71,50.86,2200,841,13,2,254.2,97.174,1.502,0.231,67.59,41.84,65.25
11,1302,331,18,6,34.497,8.77,0.477,0.159,41.73,22.26,43.54,1151,36,6,2,198.715,6.215,1.036,0.345,60.23,27.97,54.85,1296,157,2,0,15.468,1.874,0.024,0,97.05,101.51,96.4,254,0,6,0,2.008,0,0.047,0,106.01,100.36,109.96,1413,278,24,4,82.463,16.224,1.401,0.233,50.11,27.85,48.93,1169,92,3,2,215.633,16.97,0.553,0.369,54.58,31.19,51.59,2200,0,14,1,254.2,0,1.618,0.116,59.59,33.84,55.6
12,1430,128,20,2,37.889,3.391,0.53,0.053,49.42,23.58,45.64,1255,104,9,3,216.671,17.955,1.554,0.518,56.59,27.14,59.29,1567,271,3,1,18.703,3.235,0.036,0.012,87.94,91.75,89.79,268,14,6,0,2.119,0.111,0.047,0,110.8,104.22,117.33,1705,292,43,19,99.505,17.041,2.51,1.109,49.11,24.39,47,1308,139,3,0,241.273,25.64,0.553,0,54.07,29.63,53.44,2650,450,19,5,306.195,51.995,2.195,0.578,57.32,32.12,57.14
13,1646,216,24,4,43.612,5.723,0.636,0.106,48.66,21.68,48.44,1326,71,13,4,228.928,12.258,2.244,0.691,55.81,27.42,50.87,2369,802,5,2,28.275,9.572,0.06,0.024,86.47,82.21,88.28,317,49,6,0,2.506,0.387,0.047,0,122.87,109.49,121.2,2051,346,58,15,119.697,20.193,3.385,0.875,48.39,22.51,44,1423,115,3,0,262.486,21.213,0.553,0,55.82,28.04,55.24,3010,360,21,2,347.791,41.596,2.426,0.231,55.1,29.17,54.05
14,1959,313,27,3,51.905,8.293,0.715,0.079,47.57,20.81,49.21,1395,69,13,0,240.841,11.913,2.244,0,59.21,26.07,52.11,3062,693,5,0,36.546,8.271,0.06,0,78.32,77.72,95.38,349,32,6,0,2.759,0.253,0.047,0,115.69,101.58,102.85,2460,409,76,18,143.567,23.869,4.435,1.05,50.67,22.32,46.25,1552,129,6,3,286.281,23.795,1.107,0.553,58.87,30.97,58.9,3888,878,33,12,449.24,101.449,3.813,1.387,51.83,26.17,49.97
15,3385,1426,35,8,89.688,37.783,0.927,0.212,46.94,19.64,46.46,1460,65,24,11,252.063,11.222,4.144,1.899,60.48,26.51,53.17,3795,733,8,3,45.295,8.749,0.095,0.036,72.26,63.99,75.8,408,59,6,0,3.226,0.466,0.047,0,113.65,106,118.47,2994,534,106,30,174.731,31.165,6.186,1.751,46.13,21.25,49.64,1742,190,7,1,321.329,35.047,1.291,0.184,55.9,30.54,62.58,4840,952,43,10,559.239,109.999,4.968,1.155,40.3,22.24,41.14
16,4018,633,39,4,106.459,16.772,1.033,0.106,52.63,20.16,53.57,1591,131,32,8,274.68,22.617,5.525,1.381,62.93,26.33,56.91,4838,1043,12,4,57.744,12.449,0.143,0.048,68.97,57.93,71.25,455,47,6,0,3.598,0.372,0.047,0,108.76,102.41,108.01,3631,637,136,30,211.907,37.176,7.937,1.751,39,18.55,40.46,1926,184,7,0,355.269,33.941,1.291,0,53.79,32.88,51.25,6077,1237,56,13,702.168,142.929,6.471,1.502,38.61,22.54,34.36
17,4675,657,53,14,123.867,17.408,1.404,0.371,43.08,18.09,43.07,1724,133,34,2,297.642,22.962,5.87,0.345,64.33,27.01,58.8,6012,1174,13,1,71.756,14.012,0.155,0.012,63.71,50.68,61.98,488,33,7,1,3.858,0.261,0.055,0.008,116.12,109.49,126.08,4204,573,179,43,245.348,33.441,10.447,2.51,43.76,19.1,38.98,2132,206,7,0,393.268,37.999,1.291,0,59.29,31.74,50.51,6971,894,60,4,805.466,103.297,6.933,0.462,48.87,24.29,43.81
18,5386,711,60,7,142.705,18.838,1.59,0.185,36.69,17.25,38.38,1877,153,41,7,324.056,26.415,7.078,1.209,66.46,27.21,63.98,7156,1144,13,0,85.41,13.654,0.155,0,59.52,46.15,57.99,514,26,9,2,4.064,0.206,0.071,0.016,117.83,111.98,132.61,4749,545,213,34,277.154,31.806,12.431,1.984,45.23,19.48,42.29,2371,239,8,1,437.354,44.086,1.476,0.184,57.57,30.74,49.21,8015,1044,66,6,926.095,120.629,7.626,0.693,50.18,24.12,45.97
19,6255,869,61,1,165.73,23.025,1.616,0.026,45.01,19.58,42.36,2046,169,52,11,353.233,29.177,8.978,1.899,62.57,28.69,64.24,8198,1042,13,0,97.847,12.437,0.155,0,54.87,39.17,51.98,568,54,12,3,4.491,0.427,0.095,0.024,115.47,110.47,130.25,5560,811,276,63,324.484,47.33,16.108,3.677,47.52,20.08,45.95,2566,195,10,2,473.323,35.97,1.845,0.369,59.26,30.96,52.63,8789,774,86,20,1015.527,89.432,9.937,2.311,50.97,24.08,45.61
